"","type","simulations","p1","p2","Beta1","Beta2","est_Beta1_mean","est_Beta1_sd","est_Beta1_mean_SE","est_Beta2_mean","est_Beta2_sd","est_Beta2_mean_SE","cov_beta1","cov_beta2","fit_correct","fit_set"
"133","all data","500","-1","0","0","0","-0.176396784223625","3.53452430907161","3.46291234320081","-0.0614211193767091","1.14177896202934","1.13230059312242","0.958","0.962","0","0.984"
"134","summerised","500","-1","0","0","0","-0.175358160201518","3.53157368741367","3.46218449919318","-0.0609773619771689","1.14099811437309","1.13206263930216","0.958","0.962","0","0.99"
"135","all data","500","-1","0","1","2","1.10414820583748","3.44852880619446","3.48762930783015","2.03294845638869","1.12178335216673","1.14068673068118","0.952","0.946","0.002","0.97"
"136","summerised","500","-1","0","1","2","1.10359402492609","3.44458216515362","3.48501019554529","2.03164366785378","1.12072114486366","1.13983153091242","0.952","0.946","0.002","0.976"
"137","all data","500","-1","0","2","1","1.81847152141742","3.79067169379598","3.48203327958375","0.946899220441834","1.21965360499743","1.13870610442327","0.918","0.918","0","0.986"
"138","summerised","500","-1","0","2","1","1.81744087001058","3.79043349612563","3.48034987905412","0.946459671799678","1.21955429609798","1.13815734868645","0.918","0.918","0","0.996"
"139","all data","500","-1","0.5","0","0","0.109097920187073","2.25496968710659","2.22119700085698","0.0273585426022879","0.792244133518131","0.806126618985356","0.95","0.948","0","0.986"
"140","summerised","500","-1","0.5","0","0","0.10995099449417","2.25429099692165","2.22085374041548","0.0275822052205552","0.791940455670378","0.806002059625121","0.95","0.948","0","0.996"
"141","all data","500","-1","0.5","1","2","1.00960218245834","2.34260398607598","2.26751385009272","1.98953497900219","0.844960717642772","0.824120858950965","0.948","0.948","0.004","0.962"
"142","summerised","500","-1","0.5","1","2","1.00922116425416","2.34176730429578","2.26684390823761","1.98909900385817","0.844640001030591","0.823877913912124","0.948","0.946","0.004","0.964"
"143","all data","500","-1","0.5","2","1","1.9214122059772","2.28024924541805","2.22458607132248","0.996352236168411","0.820699674299638","0.807908892711873","0.946","0.952","0.002","0.976"
"144","summerised","500","-1","0.5","2","1","1.9209000635373","2.28004988268443","2.22458515905237","0.996141973883443","0.820393321786794","0.807910214547326","0.946","0.952","0.002","0.98"
"145","all data","500","-1","1","0","0","0.00618470699379339","0.156038894362693","0.158617837001963","0.0596436371468399","1.61047251345364","1.61759732463603","0.95","0.95","0.002","0.984"
"146","summerised","500","-1","1","0","0","0.00618509231170941","0.156147081250689","0.158652131714107","0.0594898521275513","1.61150095959769","1.61795015184899","0.95","0.95","0.002","0.992"
"147","all data","500","-1","1","1","2","1.99800644885847","0.187031185140224","0.192581227429994","0.925354526330255","1.84092953631907","1.88891062373054","0","0.91","0.004","0.96"
"148","summerised","500","-1","1","1","2","1.99778821191338","0.186885626408886","0.192551179773325","0.925197036641242","1.84093169812114","1.88861228478281","0","0.91","0.004","0.962"
"149","all data","500","-1","1","2","1","1.01465776092364","0.167327667928754","0.174248805706046","2.15944891060041","1.67734255899731","1.73866761044329","0","0.902","0.012","0.958"
"150","summerised","500","-1","1","2","1","1.01488228589227","0.167170890360145","0.174281647282027","2.15978247555714","1.67674207790535","1.73899506465878","0","0.902","0.012","0.966"
"151","all data","500","-1","2","0","0","0.0495725949092153","1.04349069197278","1.05332926389088","-0.000218994288547877","0.0136702708860316","0.0136885707028669","0.954","0.958","0.002","0.982"
"152","summerised","500","-1","2","0","0","0.0494188821998517","1.04358291967347","1.05269591060751","-0.000219223950153055","0.0136676961603014","0.0136803252002295","0.954","0.958","0.002","0.99"
"153","all data","500","-1","2","1","2","0.305527439385143","2.38492697238978","2.20239671835252","2.01948209458904","0.0403508343344309","0.0374383714702174","0.924","0.866","0.014","0.946"
"154","summerised","500","-1","2","1","2","0.306578449376474","2.3851379606232","2.2028511035664","2.0200036827928","0.0402640571482363","0.0374461441599074","0.922","0.874","0.014","0.946"
"155","all data","500","-1","2","2","1","1.57270375649079","1.6364693236146","1.62745187852358","1.00920113104944","0.0268460926151838","0.0266210270725501","0.934","0.93","0.02","0.974"
"156","summerised","500","-1","2","2","1","1.57259709176312","1.63612833082985","1.62741803978466","1.00921807433321","0.0264630589692157","0.0266205803083013","0.934","0.946","0.02","0.974"
"157","all data","500","-1","3","0","0","-0.0623040363128657","0.844181750353365","0.819283913856222","-0.000129957704741221","0.00165198899450394","0.00162275307624078","0.952","0.946","0.002","0.994"
"158","summerised","500","-1","3","0","0","-0.0622730845689763","0.843660478181312","0.818881858561055","-0.000129676158681703","0.00165117885237778","0.0016219497400175","0.952","0.946","0.016","0.996"
"159","all data","500","-1","3","1","2","-4.53844253767914","6.90924620164811","5.53763339975445","2.04825181959473","0.0287451330589746","0.021978996798582","0.794","0.39","0.012","0.948"
